#X     Z        log_Rho      Rho    
115.00 -51.34   2.30         199.00 
115.00 -52.85   2.30         200.00 
115.00 -54.36   2.30         200.00 
115.00 -55.87   2.30         200.00 
115.00 -57.38   2.30         200.00 
115.00 -58.89   2.30         200.00 
115.00 -60.40   2.30         200.00 
117.50 0.00     1.87         74.00  
117.50 -1.51    1.86         73.00  
117.50 -3.02    1.86         72.00  
117.50 -4.53    1.85         70.00  
117.50 -6.04    1.83         68.00  
117.50 -7.55    1.82         66.00  
117.50 -9.06    1.81         65.00  
117.50 -10.57   1.81         64.00  
117.50 -12.08   1.81         65.00  
117.50 -13.59   1.84         69.00  
117.50 -15.10   1.87         74.00  
117.50 -16.61   1.89         78.00  
117.50 -18.12   1.91         82.00  
117.50 -19.63   1.93         86.00  
117.50 -21.14   1.97         93.00  
117.50 -22.65   2.00         101.00 
117.50 -24.16   2.04         109.00 
117.50 -25.67   2.07         117.00 
117.50 -27.18   2.09         123.00 
117.50 -28.69   2.10         125.00 
117.50 -30.20   2.10         125.00 
117.50 -31.71   2.10         125.00 
117.50 -33.22   2.10         126.00 
117.50 -34.73   2.12         132.00 
117.50 -36.24   2.15         140.00 
117.50 -37.75   2.17         149.00 
117.50 -39.26   2.20         157.00 
117.50 -40.77   2.21         164.00 
117.50 -42.28   2.23         169.00 
117.50 -43.79   2.24         175.00 
117.50 -45.30   2.26         180.00 
117.50 -46.81   2.27         186.00 
117.50 -48.32   2.28         191.00 
117.50 -49.83   2.29         197.00 
117.50 -51.34   2.30         199.00 
117.50 -52.85   2.30         200.00 
117.50 -54.36   2.30         200.00 
117.50 -55.87   2.30         200.00 
117.50 -57.38   2.30         200.00 
117.50 -58.89   2.30         200.00 
117.50 -60.40   2.30         200.00 
120.00 0.00     1.87         74.00  
120.00 -1.51    1.86         73.00  
120.00 -3.02    1.86         72.00  
120.00 -4.53    1.85         70.00  
120.00 -6.04    1.83         68.00  
120.00 -7.55    1.83         67.00  
120.00 -9.06    1.81         65.00  
120.00 -10.57   1.80         63.00  
120.00 -12.08   1.81         65.00  
120.00 -13.59   1.84         69.00  
120.00 -15.10   1.86         73.00  
120.00 -16.61   1.89         78.00  
120.00 -18.12   1.91         82.00  
120.00 -19.63   1.94         87.00  
120.00 -21.14   1.97         93.00  
120.00 -22.65   2.00         101.00 
120.00 -24.16   2.04         109.00 
120.00 -25.67   2.07         117.00 
120.00 -27.18   2.09         123.00 
120.00 -28.69   2.10         125.00 
120.00 -30.20   2.10         125.00 
120.00 -31.71   2.10         125.00 
120.00 -33.22   2.10         125.00 
120.00 -34.73   2.11         130.00 
120.00 -36.24   2.14         139.00 
120.00 -37.75   2.17         148.00 
120.00 -39.26   2.20         157.00 
120.00 -40.77   2.21         164.00 
120.00 -42.28   2.23         171.00 
120.00 -43.79   2.25         177.00 
120.00 -45.30   2.26         183.00 
120.00 -46.81   2.28         189.00 
120.00 -48.32   2.29         195.00 
120.00 -49.83   2.30         199.00 
120.00 -51.34   2.30         200.00 
120.00 -52.85   2.30         200.00 
120.00 -54.36   2.30         200.00 
120.00 -55.87   2.30         200.00 
120.00 -57.38   2.30         200.00 
120.00 -58.89   2.30         200.00 
120.00 -60.40   2.30         200.00 
122.50 0.00     1.87         74.00  
122.50 -1.51    1.86         73.00  
122.50 -3.02    1.86         72.00  
122.50 -4.53    1.85         70.00  
122.50 -6.04    1.83         68.00  
122.50 -7.55    1.82         66.00  
122.50 -9.06    1.81         65.00  
122.50 -10.57   1.80         63.00  
122.50 -12.08   1.81         65.00  
122.50 -13.59   1.84         69.00  
122.50 -15.10   1.86         73.00  
122.50 -16.61   1.89         78.00  
122.50 -18.12   1.91         82.00  
122.50 -19.63   1.94         88.00  
122.50 -21.14   1.98         95.00  
122.50 -22.65   2.01         102.00 
122.50 -24.16   2.04         110.00 
122.50 -25.67   2.07         118.00 
122.50 -27.18   2.09         123.00 
122.50 -28.69   2.10         125.00 
122.50 -30.20   2.10         125.00 
122.50 -31.71   2.10         125.00 
122.50 -33.22   2.10         125.00 
122.50 -34.73   2.11         129.00 
122.50 -36.24   2.14         138.00 
122.50 -37.75   2.17         147.00 
122.50 -39.26   2.19         156.00 
122.50 -40.77   2.22         165.00 
122.50 -42.28   2.24         172.00 
122.50 -43.79   2.25         179.00 
122.50 -45.30   2.27         186.00 
122.50 -46.81   2.29         193.00 
122.50 -48.32   2.30         198.00 
122.50 -49.83   2.30         200.00 
122.50 -51.34   2.30         200.00 
122.50 -52.85   2.30         200.00 
122.50 -54.36   2.30         200.00 
122.50 -55.87   2.30         200.00 
122.50 -57.38   2.30         200.00 
122.50 -58.89   2.30         200.00 
122.50 -60.40   2.30         200.00 
125.00 0.00     1.87         74.00  
125.00 -1.51    1.86         73.00  
125.00 -3.02    1.85         71.00  
125.00 -4.53    1.85         70.00  
125.00 -6.04    1.83         68.00  
125.00 -7.55    1.82         66.00  
125.00 -9.06    1.81         64.00  
125.00 -10.57   1.79         62.00  
125.00 -12.08   1.81         64.00  
125.00 -13.59   1.83         68.00  
125.00 -15.10   1.86         73.00  
125.00 -16.61   1.90         79.00  
125.00 -18.12   1.92         84.00  
125.00 -19.63   1.95         90.00  
125.00 -21.14   1.99         97.00  
125.00 -22.65   2.02         104.00 
125.00 -24.16   2.05         111.00 
125.00 -25.67   2.07         118.00 
125.00 -27.18   2.09         123.00 
125.00 -28.69   2.10         125.00 
125.00 -30.20   2.10         125.00 
125.00 -31.71   2.10         125.00 
125.00 -33.22   2.10         126.00 
125.00 -34.73   2.11         130.00 
125.00 -36.24   2.14         138.00 
125.00 -37.75   2.17         147.00 
125.00 -39.26   2.19         156.00 
125.00 -40.77   2.22         165.00 
125.00 -42.28   2.24         172.00 
125.00 -43.79   2.26         180.00 
125.00 -45.30   2.27         187.00 
125.00 -46.81   2.29         194.00 
125.00 -48.32   2.30         199.00 
125.00 -49.83   2.30         200.00 
125.00 -51.34   2.30         200.00 
125.00 -52.85   2.30         200.00 
125.00 -54.36   2.30         200.00 
125.00 -55.87   2.30         200.00 
125.00 -57.38   2.30         200.00 
125.00 -58.89   2.30         200.00 
125.00 -60.40   2.30         200.00 
127.50 0.00     1.87         74.00  
127.50 -1.51    1.86         73.00  
127.50 -3.02    1.85         71.00  
127.50 -4.53    1.84         69.00  
127.50 -6.04    1.83         67.00  
127.50 -7.55    1.81         65.00  
127.50 -9.06    1.81         64.00  
127.50 -10.57   1.79         62.00  
127.50 -12.08   1.81         64.00  
127.50 -13.59   1.84         69.00  
127.50 -15.10   1.88         75.00  
127.50 -16.61   1.90         80.00  
127.50 -18.12   1.93         86.00  
127.50 -19.63   1.96         92.00  
127.50 -21.14   1.99         98.00  
127.50 -22.65   2.02         104.00 
127.50 -24.16   2.04         110.00 
127.50 -25.67   2.06         116.00 
127.50 -27.18   2.08         121.00 
127.50 -28.69   2.09         124.00 
127.50 -30.20   2.10         125.00 
127.50 -31.71   2.10         125.00 
127.50 -33.22   2.10         127.00 
127.50 -34.73   2.12         133.00 
127.50 -36.24   2.15         141.00 
127.50 -37.75   2.17         149.00 
127.50 -39.26   2.20         157.00 
127.50 -40.77   2.22         165.00 
127.50 -42.28   2.24         172.00 
127.50 -43.79   2.25         179.00 
127.50 -45.30   2.27         187.00 
127.50 -46.81   2.29         194.00 
127.50 -48.32   2.30         199.00 
127.50 -49.83   2.30         200.00 
127.50 -51.34   2.30         200.00 
127.50 -52.85   2.30         200.00 
127.50 -54.36   2.30         200.00 
127.50 -55.87   2.30         200.00 
127.50 -57.38   2.30         200.00 
127.50 -58.89   2.30         200.00 
127.50 -60.40   2.30         200.00 
130.00 0.00     1.87         74.00  
130.00 -1.51    1.86         73.00  
130.00 -3.02    1.85         71.00  
130.00 -4.53    1.84         69.00  
130.00 -6.04    1.83         67.00  
130.00 -7.55    1.81         65.00  
130.00 -9.06    1.81         64.00  
130.00 -10.57   1.79         62.00  
130.00 -12.08   1.81         64.00  
130.00 -13.59   1.84         69.00  
130.00 -15.10   1.88         75.00  
130.00 -16.61   1.90         80.00  
130.00 -18.12   1.93         86.00  
130.00 -19.63   1.96         92.00  
130.00 -21.14   1.99         97.00  
130.00 -22.65   2.01         102.00 
130.00 -24.16   2.03         107.00 
130.00 -25.67   2.05         113.00 
130.00 -27.18   2.07         118.00 
130.00 -28.69   2.09         123.00 
130.00 -30.20   2.10         125.00 
130.00 -31.71   2.10         126.00 
130.00 -33.22   2.11         130.00 
130.00 -34.73   2.14         138.00 
130.00 -36.24   2.16         145.00 
130.00 -37.75   2.18         152.00 
130.00 -39.26   2.20         158.00 
130.00 -40.77   2.22         165.00 
130.00 -42.28   2.24         172.00 
130.00 -43.79   2.25         179.00 
130.00 -45.30   2.27         186.00 
130.00 -46.81   2.29         193.00 
130.00 -48.32   2.30         199.00 
130.00 -49.83   2.30         200.00 
130.00 -51.34   2.30         200.00 
130.00 -52.85   2.30         200.00 
130.00 -54.36   2.30         200.00 
130.00 -55.87   2.30         200.00 
130.00 -57.38   2.30         200.00 
130.00 -58.89   2.30         200.00 
130.00 -60.40   2.30         200.00 
132.50 0.00     1.87         74.00  
132.50 -1.51    1.86         73.00  
132.50 -3.02    1.85         71.00  
132.50 -4.53    1.84         69.00  
132.50 -6.04    1.83         67.00  
132.50 -7.55    1.82         66.00  
132.50 -9.06    1.81         64.00  
132.50 -10.57   1.79         62.00  
132.50 -12.08   1.81         64.00  
132.50 -13.59   1.83         68.00  
132.50 -15.10   1.86         73.00  
132.50 -16.61   1.90         79.00  
132.50 -18.12   1.93         85.00  
132.50 -19.63   1.95         90.00  
132.50 -21.14   1.98         95.00  
132.50 -22.65   2.00         100.00 
132.50 -24.16   2.02         105.00 
132.50 -25.67   2.04         110.00 
132.50 -27.18   2.06         115.00 
132.50 -28.69   2.08         121.00 
132.50 -30.20   2.09         124.00 
132.50 -31.71   2.11         128.00 
132.50 -33.22   2.13         134.00 
132.50 -34.73   2.15         140.00 
132.50 -36.24   2.17         147.00 
132.50 -37.75   2.18         153.00 
132.50 -39.26   2.20         159.00 
132.50 -40.77   2.22         165.00 
132.50 -42.28   2.24         172.00 
132.50 -43.79   2.25         179.00 
132.50 -45.30   2.27         186.00 
132.50 -46.81   2.29         193.00 
132.50 -48.32   2.30         198.00 
132.50 -49.83   2.30         200.00 
132.50 -51.34   2.30         200.00 
132.50 -52.85   2.30         200.00 
132.50 -54.36   2.30         200.00 
132.50 -55.87   2.30         200.00 
132.50 -57.38   2.30         200.00 
132.50 -58.89   2.30         200.00 
132.50 -60.40   2.30         200.00 
135.00 0.00     1.87         74.00  
135.00 -1.51    1.86         73.00  
135.00 -3.02    1.85         71.00  
135.00 -4.53    1.84         69.00  
135.00 -6.04    1.83         68.00  
135.00 -7.55    1.82         66.00  
135.00 -9.06    1.81         64.00  
135.00 -10.57   1.79         62.00  
135.00 -12.08   1.81         64.00  
135.00 -13.59   1.83         68.00  
135.00 -15.10   1.86         73.00  
135.00 -16.61   1.89         78.00  
135.00 -18.12   1.92         83.00  
135.00 -19.63   1.95         89.00  
135.00 -21.14   1.97         94.00  
135.00 -22.65   2.00         99.00  
135.00 -24.16   2.02         104.00 
135.00 -25.67   2.04         109.00 
135.00 -27.18   2.06         114.00 
135.00 -28.69   2.08         119.00 
135.00 -30.20   2.09         123.00 
135.00 -31.71   2.11         129.00 
135.00 -33.22   2.13         135.00 
135.00 -34.73   2.15         141.00 
135.00 -36.24   2.17         147.00 
135.00 -37.75   2.18         153.00 
135.00 -39.26   2.20         159.00 
135.00 -40.77   2.22         165.00 
135.00 -42.28   2.24         172.00 
135.00 -43.79   2.25         179.00 
135.00 -45.30   2.27         186.00 
135.00 -46.81   2.29         193.00 
135.00 -48.32   2.30         198.00 
135.00 -49.83   2.30         200.00 
135.00 -51.34   2.30         200.00 
135.00 -52.85   2.30         200.00 
135.00 -54.36   2.30         200.00 
135.00 -55.87   2.30         200.00 
135.00 -57.38   2.30         200.00 
135.00 -58.89   2.30         200.00 
135.00 -60.40   2.30         200.00 
137.50 0.00     1.87         74.00  
137.50 -1.51    1.86         73.00  
137.50 -3.02    1.86         72.00  
137.50 -4.53    1.85         70.00  
137.50 -6.04    1.83         68.00  
137.50 -7.55    1.82         66.00  
137.50 -9.06    1.81         64.00  
137.50 -10.57   1.80         63.00  
137.50 -12.08   1.81         64.00  
137.50 -13.59   1.83         68.00  
137.50 -15.10   1.86         73.00  
137.50 -16.61   1.89         77.00  
137.50 -18.12   1.91         82.00  
137.50 -19.63   1.94         87.00  
137.50 -21.14   1.96         92.00  
137.50 -22.65   1.99         97.00  
137.50 -24.16   2.01         102.00 
137.50 -25.67   2.03         108.00 
137.50 -27.18   2.05         113.00 
137.50 -28.69   2.07         118.00 
137.50 -30.20   2.09         124.00 
137.50 -31.71   2.11         129.00 
137.50 -33.22   2.13         135.00 
137.50 -34.73   2.15         141.00 
137.50 -36.24   2.17         147.00 
137.50 -37.75   2.18         153.00 
137.50 -39.26   2.20         159.00 
137.50 -40.77   2.22         165.00 
137.50 -42.28   2.24         172.00 
137.50 -43.79   2.25         179.00 
137.50 -45.30   2.27         185.00 
137.50 -46.81   2.28         192.00 
137.50 -48.32   2.29         197.00 
137.50 -49.83   2.30         200.00 
137.50 -51.34   2.30         200.00 
137.50 -52.85   2.30         200.00 
137.50 -54.36   2.30         200.00 
137.50 -55.87   2.30         200.00 
137.50 -57.38   2.30         200.00 
137.50 -58.89   2.30         200.00 
137.50 -60.40   2.30         200.00 
140.00 0.00     1.87         74.00  
140.00 -1.51    1.86         73.00  
140.00 -3.02    1.86         72.00  
140.00 -4.53    1.85         70.00  
140.00 -6.04    1.83         68.00  
140.00 -7.55    1.82         66.00  
140.00 -9.06    1.81         65.00  
140.00 -10.57   1.80         63.00  
140.00 -12.08   1.81         64.00  
140.00 -13.59   1.84         69.00  
140.00 -15.10   1.86         73.00  
140.00 -16.61   1.89         77.00  
140.00 -18.12   1.91         82.00  
140.00 -19.63   1.93         86.00  
140.00 -21.14   1.96         91.00  
140.00 -22.65   1.99         97.00  
140.00 -24.16   2.01         102.00 
140.00 -25.67   2.03         108.00 
140.00 -27.18   2.05         113.00 
140.00 -28.69   2.08         119.00 
140.00 -30.20   2.09         124.00 
140.00 -31.71   2.11         130.00 
140.00 -33.22   2.13         136.00 
140.00 -34.73   2.15         141.00 
140.00 -36.24   2.17         147.00 
140.00 -37.75   2.18         153.00 
140.00 -39.26   2.20         159.00 
140.00 -40.77   2.22         165.00 
140.00 -42.28   2.23         171.00 
140.00 -43.79   2.25         177.00 
140.00 -45.30   2.26         184.00 
140.00 -46.81   2.28         190.00 
140.00 -48.32   2.29         196.00 
140.00 -49.83   2.30         200.00 
140.00 -51.34   2.30         200.00 
140.00 -52.85   2.30         200.00 
140.00 -54.36   2.30         200.00 
140.00 -55.87   2.30         200.00 
140.00 -57.38   2.30         200.00 
140.00 -58.89   2.30         200.00 
140.00 -60.40   2.30         200.00 
142.50 0.00     1.87         74.00  
142.50 -1.51    1.86         73.00  
142.50 -3.02    1.86         72.00  
142.50 -4.53    1.85         70.00  
142.50 -6.04    1.83         68.00  
142.50 -7.55    1.83         67.00  
142.50 -9.06    1.81         65.00  
142.50 -10.57   1.80         63.00  
142.50 -12.08   1.81         65.00  
142.50 -13.59   1.84         69.00  
142.50 -15.10   1.86         73.00  
142.50 -16.61   1.89         77.00  
142.50 -18.12   1.91         81.00  
142.50 -19.63   1.93         85.00  
142.50 -21.14   1.96         91.00  
142.50 -22.65   1.98         96.00  
142.50 -24.16   2.01         102.00 
142.50 -25.67   2.03         108.00 
142.50 -27.18   2.05         113.00 
142.50 -28.69   2.08         119.00 
142.50 -30.20   2.10         125.00 
142.50 -31.71   2.11         130.00 
142.50 -33.22   2.13         136.00 
142.50 -34.73   2.15         142.00 
142.50 -36.24   2.17         147.00 
142.50 -37.75   2.18         153.00 
142.50 -39.26   2.20         159.00 
142.50 -40.77   2.21         164.00 
142.50 -42.28   2.23         170.00 
142.50 -43.79   2.25         176.00 
142.50 -45.30   2.26         183.00 
142.50 -46.81   2.28         189.00 
142.50 -48.32   2.29         195.00 
142.50 -49.83   2.30         199.00 
142.50 -51.34   2.30         200.00 
142.50 -52.85   2.30         200.00 
142.50 -54.36   2.30         200.00 
142.50 -55.87   2.30         200.00 
142.50 -57.38   2.30         200.00 
142.50 -58.89   2.30         200.00 
142.50 -60.40   2.30         200.00 
145.00 0.00     1.87         74.00  
145.00 -1.51    1.86         73.00  
145.00 -3.02    1.86         72.00  
145.00 -4.53    1.85         70.00  
145.00 -6.04    1.84         69.00  
145.00 -7.55    1.83         67.00  
145.00 -9.06    1.81         65.00  
145.00 -10.57   1.81         64.00  
145.00 -12.08   1.81         65.00  
145.00 -13.59   1.83         68.00  
145.00 -15.10   1.86         72.00  
145.00 -16.61   1.88         76.00  
145.00 -18.12   1.90         80.00  
145.00 -19.63   1.92         84.00  
145.00 -21.14   1.95         89.00  
145.00 -22.65   1.98         95.00  
145.00 -24.16   2.00         101.00 
145.00 -25.67   2.03         107.00 
145.00 -27.18   2.05         113.00 
145.00 -28.69   2.08         119.00 
145.00 -30.20   2.10         125.00 
145.00 -31.71   2.12         131.00 
145.00 -33.22   2.13         136.00 
145.00 -34.73   2.15         142.00 
145.00 -36.24   2.17         147.00 
145.00 -37.75   2.18         153.00 
145.00 -39.26   2.20         159.00 
145.00 -40.77   2.21         164.00 
145.00 -42.28   2.23         170.00 
145.00 -43.79   2.25         176.00 
145.00 -45.30   2.26         182.00 
145.00 -46.81   2.27         188.00 
145.00 -48.32   2.29         194.00 
145.00 -49.83   2.30         198.00 
145.00 -51.34   2.30         200.00 
145.00 -52.85   2.30         200.00 
145.00 -54.36   2.30         200.00 
145.00 -55.87   2.30         200.00 
145.00 -57.38   2.30         200.00 
145.00 -58.89   2.30         200.00 
145.00 -60.40   2.30         200.00 
147.50 0.00     1.87         74.00  
147.50 -1.51    1.87         74.00  
147.50 -3.02    1.86         72.00  
147.50 -4.53    1.85         71.00  
147.50 -6.04    1.84         69.00  
147.50 -7.55    1.83         68.00  
147.50 -9.06    1.82         66.00  
147.50 -10.57   1.81         64.00  
147.50 -12.08   1.81         65.00  
147.50 -13.59   1.83         68.00  
147.50 -15.10   1.85         71.00  
147.50 -16.61   1.88         75.00  
147.50 -18.12   1.90         79.00  
147.50 -19.63   1.92         83.00  
147.50 -21.14   1.94         88.00  
147.50 -22.65   1.97         94.00  
147.50 -24.16   2.00         100.00 
147.50 -25.67   2.03         106.00 
147.50 -27.18   2.05         113.00 
147.50 -28.69   2.08         119.00 
147.50 -30.20   2.10         125.00 
147.50 -31.71   2.12         131.00 
147.50 -33.22   2.13         136.00 
147.50 -34.73   2.15         142.00 
147.50 -36.24   2.17         147.00 
147.50 -37.75   2.18         153.00 
147.50 -39.26   2.20         159.00 
147.50 -40.77   2.21         164.00 
147.50 -42.28   2.23         170.00 
147.50 -43.79   2.25         176.00 
147.50 -45.30   2.26         182.00 
147.50 -46.81   2.27         188.00 
147.50 -48.32   2.29         194.00 
147.50 -49.83   2.30         198.00 
147.50 -51.34   2.30         200.00 
147.50 -52.85   2.30         200.00 
147.50 -54.36   2.30         200.00 
147.50 -55.87   2.30         200.00 
147.50 -57.38   2.30         200.00 
147.50 -58.89   2.30         200.00 
147.50 -60.40   2.30         200.00 
150.00 0.00     1.87         74.00  
150.00 -1.51    1.87         74.00  
150.00 -3.02    1.86         72.00  
150.00 -4.53    1.85         71.00  
150.00 -6.04    1.85         70.00  
150.00 -7.55    1.83         68.00  
150.00 -9.06    1.83         67.00  
150.00 -10.57   1.81         65.00  
150.00 -12.08   1.82         66.00  
150.00 -13.59   1.84         69.00  
150.00 -15.10   1.86         72.00  
150.00 -16.61   1.88         75.00  
150.00 -18.12   1.89         78.00  
150.00 -19.63   1.91         82.00  
150.00 -21.14   1.94         87.00  
150.00 -22.65   1.97         93.00  
150.00 -24.16   2.00         100.00 
150.00 -25.67   2.03         106.00 
150.00 -27.18   2.05         112.00 
150.00 -28.69   2.08         119.00 
150.00 -30.20   2.10         125.00 
150.00 -31.71   2.12         131.00 
150.00 -33.22   2.13         136.00 
150.00 -34.73   2.15         142.00 
150.00 -36.24   2.17         147.00 
150.00 -37.75   2.18         153.00 
150.00 -39.26   2.20         159.00 
150.00 -40.77   2.21         164.00 
150.00 -42.28   2.23         170.00 
150.00 -43.79   2.25         176.00 
150.00 -45.30   2.26         182.00 
150.00 -46.81   2.27         188.00 
150.00 -48.32   2.29         194.00 
150.00 -49.83   2.30         198.00 
150.00 -51.34   2.30         200.00 
150.00 -52.85   2.30         200.00 
150.00 -54.36   2.30         200.00 
150.00 -55.87   2.30         200.00 
150.00 -57.38   2.30         200.00 
150.00 -58.89   2.30         200.00 
150.00 -60.40   2.30         200.00 
152.50 0.00     1.87         74.00  
152.50 -1.51    1.87         74.00  
152.50 -3.02    1.86         72.00  
152.50 -4.53    1.85         71.00  
152.50 -6.04    1.85         70.00  
152.50 -7.55    1.83         68.00  
152.50 -9.06    1.83         67.00  
152.50 -10.57   1.81         65.00  
152.50 -12.08   1.82         66.00  
152.50 -13.59   1.84         69.00  
152.50 -15.10   1.86         72.00  
152.50 -16.61   1.88         75.00  
152.50 -18.12   1.89         78.00  
152.50 -19.63   1.91         82.00  
152.50 -21.14   1.94         87.00  
152.50 -22.65   1.97         93.00  
152.50 -24.16   2.00         99.00  
152.50 -25.67   2.03         106.00 
152.50 -27.18   2.05         112.00 
152.50 -28.69   2.08         119.00 
152.50 -30.20   2.10         125.00 
152.50 -31.71   2.12         131.00 
152.50 -33.22   2.13         136.00 
152.50 -34.73   2.15         142.00 
152.50 -36.24   2.17         147.00 
152.50 -37.75   2.18         153.00 
152.50 -39.26   2.20         159.00 
152.50 -40.77   2.21         164.00 
152.50 -42.28   2.23         170.00 
152.50 -43.79   2.25         176.00 
152.50 -45.30   2.26         182.00 
152.50 -46.81   2.27         188.00 
152.50 -48.32   2.29         194.00 
152.50 -49.83   2.30         198.00 
152.50 -51.34   2.30         200.00 
152.50 -52.85   2.30         200.00 
152.50 -54.36   2.30         200.00 
152.50 -55.87   2.30         200.00 
152.50 -57.38   2.30         200.00 
152.50 -58.89   2.30         200.00 
152.50 -60.40   2.30         200.00 
155.00 0.00     1.87         74.00  
155.00 -1.51    1.87         74.00  
155.00 -3.02    1.86         72.00  
155.00 -4.53    1.85         71.00  
155.00 -6.04    1.84         69.00  
155.00 -7.55    1.83         68.00  
155.00 -9.06    1.82         66.00  
155.00 -10.57   1.81         65.00  
155.00 -12.08   1.82         66.00  
155.00 -13.59   1.83         68.00  
155.00 -15.10   1.85         71.00  
155.00 -16.61   1.88         75.00  
155.00 -18.12   1.89         78.00  
155.00 -19.63   1.91         82.00  
155.00 -21.14   1.94         87.00  
155.00 -22.65   1.97         93.00  
155.00 -24.16   2.00         100.00 
155.00 -25.67   2.03         106.00 
155.00 -27.18   2.05         112.00 
155.00 -28.69   2.08         119.00 
155.00 -30.20   2.10         125.00 
155.00 -31.71   2.12         131.00 
155.00 -33.22   2.13         136.00 
155.00 -34.73   2.15         142.00 
155.00 -36.24   2.17         147.00 
155.00 -37.75   2.18         153.00 
155.00 -39.26   2.20         159.00 
155.00 -40.77   2.21         164.00 
155.00 -42.28   2.23         170.00 
155.00 -43.79   2.25         176.00 
155.00 -45.30   2.26         182.00 
155.00 -46.81   2.27         188.00 
155.00 -48.32   2.29         194.00 
155.00 -49.83   2.30         198.00 
155.00 -51.34   2.30         200.00 
155.00 -52.85   2.30         200.00 
155.00 -54.36   2.30         200.00 
155.00 -55.87   2.30         200.00 
155.00 -57.38   2.30         200.00 
155.00 -58.89   2.30         200.00 
155.00 -60.40   2.30         200.00 
157.50 0.00     1.87         74.00  
157.50 -1.51    1.86         73.00  
157.50 -3.02    1.86         72.00  
157.50 -4.53    1.85         70.00  
157.50 -6.04    1.84         69.00  
157.50 -7.55    1.83         67.00  
157.50 -9.06    1.82         66.00  
157.50 -10.57   1.81         64.00  
157.50 -12.08   1.81         65.00  
157.50 -13.59   1.83         68.00  
157.50 -15.10   1.85         71.00  
157.50 -16.61   1.88         75.00  
157.50 -18.12   1.90         79.00  
157.50 -19.63   1.92         83.00  
157.50 -21.14   1.94         88.00  
157.50 -22.65   1.97         94.00  
157.50 -24.16   2.00         101.00 
157.50 -25.67   2.03         107.00 
157.50 -27.18   2.05         113.00 
157.50 -28.69   2.08         119.00 
157.50 -30.20   2.10         125.00 
157.50 -31.71   2.12         131.00 
157.50 -33.22   2.13         136.00 
157.50 -34.73   2.15         142.00 
157.50 -36.24   2.17         147.00 
157.50 -37.75   2.18         153.00 
157.50 -39.26   2.20         159.00 
157.50 -40.77   2.21         164.00 
157.50 -42.28   2.23         170.00 
157.50 -43.79   2.25         176.00 
157.50 -45.30   2.26         182.00 
157.50 -46.81   2.27         188.00 
157.50 -48.32   2.29         194.00 
157.50 -49.83   2.30         198.00 
157.50 -51.34   2.30         200.00 
157.50 -52.85   2.30         200.00 
157.50 -54.36   2.30         200.00 
157.50 -55.87   2.30         200.00 
157.50 -57.38   2.30         200.00 
157.50 -58.89   2.30         200.00 
157.50 -60.40   2.30         200.00 
160.00 0.00     1.87         74.00  
160.00 -1.51    1.86         73.00  
160.00 -3.02    1.86         72.00  
160.00 -4.53    1.85         70.00  
160.00 -6.04    1.83         68.00  
160.00 -7.55    1.83         67.00  
160.00 -9.06    1.81         65.00  
160.00 -10.57   1.81         64.00  
160.00 -12.08   1.81         64.00  
160.00 -13.59   1.83         68.00  
160.00 -15.10   1.86         72.00  
160.00 -16.61   1.88         76.00  
160.00 -18.12   1.90         80.00  
160.00 -19.63   1.92         84.00  
160.00 -21.14   1.95         89.00  
160.00 -22.65   1.98         96.00  
160.00 -24.16   2.01         102.00 
160.00 -25.67   2.03         108.00 
160.00 -27.18   2.06         114.00 
160.00 -28.69   2.08         119.00 
160.00 -30.20   2.10         125.00 
160.00 -31.71   2.12         131.00 
160.00 -33.22   2.13         136.00 
160.00 -34.73   2.15         142.00 
160.00 -36.24   2.17         147.00 
160.00 -37.75   2.18         153.00 
160.00 -39.26   2.20         159.00 
160.00 -40.77   2.21         164.00 
160.00 -42.28   2.23         170.00 
160.00 -43.79   2.25         176.00 
160.00 -45.30   2.26         182.00 
160.00 -46.81   2.27         188.00 
160.00 -48.32   2.29         194.00 
160.00 -49.83   2.30         198.00 
160.00 -51.34   2.30         200.00 
160.00 -52.85   2.30         200.00 
160.00 -54.36   2.30         200.00 
160.00 -55.87   2.30         200.00 
160.00 -57.38   2.30         200.00 
160.00 -58.89   2.30         200.00 
160.00 -60.40   2.30         200.00 
162.50 0.00     1.87         74.00  
162.50 -1.51    1.86         73.00  
162.50 -3.02    1.86         72.00  
162.50 -4.53    1.85         70.00  
162.50 -6.04    1.83         68.00  
162.50 -7.55    1.83         67.00  
162.50 -9.06    1.81         65.00  
162.50 -10.57   1.80         63.00  
162.50 -12.08   1.81         65.00  
162.50 -13.59   1.84         69.00  
162.50 -15.10   1.86         73.00  
162.50 -16.61   1.89         77.00  
162.50 -18.12   1.91         81.00  
162.50 -19.63   1.93         85.00  
162.50 -21.14   1.96         91.00  
162.50 -22.65   1.99         97.00  
162.50 -24.16   2.01         102.00 
162.50 -25.67   2.03         108.00 
162.50 -27.18   2.06         114.00 
162.50 -28.69   2.08         119.00 
162.50 -30.20   2.10         125.00 
162.50 -31.71   2.12         131.00 
162.50 -33.22   2.13         136.00 
162.50 -34.73   2.15         142.00 
162.50 -36.24   2.17         147.00 
162.50 -37.75   2.18         153.00 
162.50 -39.26   2.20         159.00 
162.50 -40.77   2.21         164.00 
162.50 -42.28   2.23         170.00 
162.50 -43.79   2.25         176.00 
162.50 -45.30   2.26         182.00 
162.50 -46.81   2.27         187.00 
